date,time,inlet_lvl_ft,inlet_temp_C,outlet_lvl_ft,outlet_temp_C
6/13/2022,0:00,1.484,13.9,1.406,13.74
6/13/2022,0:10,1.485,13.9,1.406,13.73
6/13/2022,0:20,1.484,13.9,1.406,13.73
6/13/2022,0:30,1.485,13.9,1.407,13.73
6/13/2022,0:40,1.484,13.9,1.406,13.73
6/13/2022,0:50,1.485,13.9,1.406,13.73
6/13/2022,1:00,1.485,13.9,1.407,13.72
6/13/2022,1:10,1.485,13.9,1.406,13.72
6/13/2022,1:20,1.484,13.9,1.406,13.72
6/13/2022,1:30,1.483,13.9,1.407,13.72
6/13/2022,1:40,1.484,13.9,1.407,13.72
6/13/2022,1:50,1.485,13.9,1.405,13.72
6/13/2022,2:00,1.485,13.9,1.407,13.72
6/13/2022,2:10,1.485,13.9,1.406,13.72
6/13/2022,2:20,1.484,13.9,1.406,13.72
6/13/2022,2:30,1.484,13.9,1.407,13.72
6/13/2022,2:40,1.484,13.9,1.406,13.72
6/13/2022,2:50,1.484,13.9,1.406,13.72
6/13/2022,3:00,1.486,13.9,1.407,13.72
6/13/2022,3:10,1.486,13.9,1.406,13.72
6/13/2022,3:20,1.484,13.9,1.405,13.72
6/13/2022,3:30,1.484,13.9,1.406,13.72
6/13/2022,3:40,1.484,13.9,1.407,13.72
6/13/2022,3:50,1.484,13.9,1.407,13.72
6/13/2022,4:00,1.483,13.9,1.406,13.72
6/13/2022,4:10,1.484,13.9,1.407,13.72
6/13/2022,4:20,1.484,13.9,1.406,13.72
6/13/2022,4:30,1.485,13.9,1.406,13.72
6/13/2022,4:40,1.486,13.9,1.407,13.72
6/13/2022,4:50,1.484,13.9,1.407,13.72
6/13/2022,5:00,1.484,13.9,1.407,13.78
6/13/2022,5:10,1.483,13.9,1.406,13.77
6/13/2022,5:20,1.483,13.9,1.406,13.76
6/13/2022,5:30,1.484,13.9,1.406,13.76
6/13/2022,5:40,1.484,13.9,1.407,13.76
6/13/2022,5:50,1.484,13.9,1.405,13.75
6/13/2022,6:00,1.483,13.9,1.406,13.75
6/13/2022,6:10,1.484,13.9,1.405,13.75
6/13/2022,6:20,1.484,13.9,1.406,13.75
6/13/2022,6:30,1.484,13.9,1.405,13.74
6/13/2022,6:40,1.484,13.9,1.407,13.74
6/13/2022,6:50,1.485,13.9,1.405,13.74
6/13/2022,7:00,1.485,13.9,1.406,13.74
6/13/2022,7:10,1.483,13.9,1.406,13.74
6/13/2022,7:20,1.485,13.9,1.408,13.74
6/13/2022,7:30,1.483,13.9,1.407,13.74
6/13/2022,7:40,1.485,13.91,1.405,13.74
6/13/2022,7:50,1.485,13.91,1.407,13.74
6/13/2022,8:00,1.486,13.91,1.407,13.74
